"","anon_id","assignment_name","score","course_id","course_name"
"297","les398","Film2Activity:TheHunters",39,"1244932","ANTH-125G F19"
"298","nez758","Film2Activity:TheHunters",39,"1244932","ANTH-125G F19"
"299","son163","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"300","ell773","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"301","tes577","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"302","ina624","Film2Activity:TheHunters",39,"1244932","ANTH-125G F19"
"303","tep393","Film2Activity:TheHunters",39,"1244932","ANTH-125G F19"
"304","ger413","Film2Activity:TheHunters",39,"1244932","ANTH-125G F19"
"305","res666","Film2Activity:TheHunters",38,"1244932","ANTH-125G F19"
"306","ado340","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"307","aya888","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"308","dez078","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"309","tiz281","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"310","aya041","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"311","uez168","Film2Activity:TheHunters",39,"1244932","ANTH-125G F19"
"312","ina853","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"313","ona128","Film2Activity:TheHunters",38,"1244932","ANTH-125G F19"
"314","nas826","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"315","ido404","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"316","ale585","Film2Activity:TheHunters",39,"1244932","ANTH-125G F19"
"317","son417","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"318","tiz022","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"319","urt762","Film2Activity:TheHunters",0,"1244932","ANTH-125G F19"
"320","ing762","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"321","res645","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"322","att054","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"323","ina094","Film2Activity:TheHunters",39,"1244932","ANTH-125G F19"
"324","ger440","Film2Activity:TheHunters",39,"1244932","ANTH-125G F19"
"325","ito078","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"326","ges084","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"327","ndo136","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"328","ias015","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"329","niz799","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"330","nez498","Film2Activity:TheHunters",0,"1244932","ANTH-125G F19"
"331","hes301","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"332","ugh367","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"333","iaz497","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"334","ssy677","Film2Activity:TheHunters",38,"1244932","ANTH-125G F19"
"335","nez215","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"336","ard532","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"337","nte941","Film2Activity:TheHunters",38,"1244932","ANTH-125G F19"
"338","ion136","Film2Activity:TheHunters",40,"1244932","ANTH-125G F19"
"339","rez095","Film2Activity:TheHunters",39,"1244932","ANTH-125G F19"
